scenario,revenue,gross_profit,cost,margin
Downside,478.485,124.40610000000001,354.0789,0.26
Base,510.384,153.1152,357.26880000000006,0.3
Upside,546.8399999999999,185.92559999999997,360.91439999999994,0.34
