scenario,revenue,gross_profit,cost,margin,break_even_revenue,break_even_gap
Downside,478.485,124.40610000000001,354.0789,0.26,674.4834615384615,-195.99846153846147
Base,510.384,153.1152,357.26880000000006,0.3,584.5523333333334,-74.16833333333341
Upside,546.8399999999999,185.92559999999997,360.91439999999994,0.34,515.7814705882353,31.058529411764653
